iter	Passed	Remaining
629	21654	29903
630	21687	29867
631	21721	29832
632	21753	29795
633	21787	29760
634	21821	29725
635	21854	29688
636	21888	29654
637	21922	29618
638	21956	29584
639	21991	29550
640	22026	29517
641	22059	29481
642	22093	29446
643	22128	29412
644	22162	29377
645	22195	29342
646	22228	29306
647	22262	29271
648	22295	29235
649	22328	29198
650	22362	29164
651	22395	29128
652	22430	29094
653	22463	29058
654	22497	29023
655	22532	28989
656	22566	28955
657	22600	28920
658	22634	28885
659	22667	28849
660	22700	28814
661	22734	28778
662	22768	28743
663	22800	28706
664	22833	28671
665	22867	28635
666	22901	28600
667	22934	28565
668	22967	28529
669	23001	28495
670	23035	28459
671	23068	28424
672	23103	28390
673	23137	28355
674	23171	28320
675	23206	28286
676	23241	28253
677	23275	28219
678	23309	28183
679	23343	28149
680	23376	28113
681	23409	28078
682	23442	28041
683	23476	28006
684	23508	27970
685	23542	27935
686	23576	27900
687	23610	27866
688	23642	27829
689	23677	27795
690	23710	27760
691	23745	27726
692	23779	27691
693	23812	27655
694	23846	27621
695	23880	27586
696	23914	27551
697	23947	27515
698	23981	27481
699	24016	27447
700	24050	27412
701	24084	27378
702	24118	27343
703	24150	27306
704	24184	27271
705	24219	27238
706	24253	27203
707	24287	27169
708	24322	27135
709	24354	27099
710	24388	27063
711	24422	27029
712	24456	26995
713	24490	26959
714	24523	26923
715	24556	26888
716	24590	26854
717	24623	26818
718	24656	26783
719	24690	26748
720	24724	26713
721	24757	26677
722	24791	26643
723	24825	26609
724	24858	26573
725	24892	26538
726	24927	26504
727	24960	26469
728	24994	26434
729	25028	26400
730	25061	26364
731	25096	26330
732	25130	26295
733	25163	26260
734	25197	26226
735	25232	26192
736	25267	26158
737	25300	26123
738	25334	26088
739	25368	26054
740	25402	26019
741	25436	25984
742	25468	25947
743	25501	25912
744	25535	25878
745	25569	25844
746	25602	25808
747	25635	25773
748	25667	25736
749	25701	25701
750	25735	25666
751	25768	25631
752	25802	25596
753	25835	25561
754	25869	25527
755	25902	25491
756	25936	25457
757	25969	25421
758	26003	25386
759	26037	25352
760	26072	25319
761	26107	25284
762	26140	25249
763	26175	25215
764	26210	25182
765	26245	25149
766	26281	25116
767	26314	25081
768	26348	25046
769	26383	25012
770	26418	24979
771	26454	24947
772	26504	24927
773	26538	24892
774	26572	24858
775	26607	24824
776	26641	24789
777	26676	24756
778	26712	24723
779	26747	24689
780	26781	24655
781	26816	24621
782	26850	24587
783	26884	24553
784	26917	24516
785	26950	24481
786	26984	24446
787	27019	24413
788	27053	24378
789	27088	24345
790	27125	24313
791	27160	24279
792	27193	24244
793	27227	24210
794	27261	24175
795	27296	24141
796	27330	24107
797	27364	24072
798	27397	24036
799	27430	24002
800	27463	23966
801	27496	23931
802	27530	23896
803	27565	23863
804	27600	23828
805	27634	23794
806	27669	23760
807	27703	23726
808	27738	23692
809	27771	23657
810	27805	23622
811	27839	23588
812	27872	23553
813	27907	23519
814	27940	23483
815	27973	23448
816	28007	23413
817	28040	23378
818	28073	23343
819	28107	23308
820	28140	23273
821	28175	23240
822	28209	23205
823	28242	23170
824	28276	23135
825	28310	23101
826	28343	23065
827	28376	23030
828	28410	22995
829	28445	22961
830	28478	22926
831	28513	22892
832	28547	22858
833	28581	22824
834	28616	22790
835	28650	22755
836	28684	22721
837	28720	22688
838	28753	22653
839	28787	22618
840	28821	22584
841	28856	22550
842	28889	22515
843	28922	22479
844	28957	22446
845	28990	22411
846	29024	22376
847	29058	22342
848	29092	22307
849	29126	22272
850	29158	22237
851	29193	22203
852	29227	22168
853	29261	22134
854	29296	22101
855	29339	22073
856	29379	22042
857	29434	22024
858	29468	21990
859	29503	21956
860	29538	21922
861	29578	21892
862	29615	21859
863	29651	21826
864	29692	21797
865	29728	21764
866	29775	21738
867	29811	21706
868	29846	21672
869	29880	21637
870	29915	21603
871	29948	21568
872	29982	21533
873	30015	21498
874	30049	21463
875	30081	21428
876	30115	21393
877	30148	21358
878	30181	21323
879	30217	21289
880	30250	21254
881	30284	21219
882	30318	21185
883	30353	21151
884	30388	21117
885	30422	21082
886	30455	21047
887	30488	21012
888	30521	20977
889	30555	20942
890	30588	20907
891	30621	20871
892	30655	20837
893	30689	20802
894	30724	20768
895	30758	20734
896	30793	20700
897	30829	20667
898	30863	20632
899	30896	20597
900	30929	20562
901	30962	20527
902	30997	20493
903	31030	20458
904	31064	20423
905	31097	20388
906	31131	20353
907	31164	20318
908	31197	20283
909	31231	20249
910	31265	20214
911	31300	20180
912	31334	20145
913	31367	20111
914	31401	20076
915	31438	20043
916	31472	20009
917	31506	19974
918	31540	19940
919	31574	19905
920	31608	19871
921	31642	19836
922	31678	19803
923	31718	19772
924	31752	19738
925	31786	19703
926	31820	19669
927	31855	19634
928	31889	19600
929	31923	19566
930	31956	19530
931	31990	19496
932	32023	19461
933	32057	19426
934	32090	19391
935	32123	19356
936	32156	19321
937	32189	19286
938	32222	19251
939	32256	19216
940	32291	19182
941	32324	19147
942	32357	19112
943	32391	19078
944	32424	19043
945	32458	19008
946	32493	18974
947	32526	18939
948	32560	18904
949	32593	18869
950	32627	18835
951	32661	18800
952	32694	18765
953	32729	18731
954	32763	18697
955	32795	18662
956	32830	18628
957	32865	18593
958	32899	18559
959	32934	18525
960	32967	18490
961	33002	18456
962	33036	18422
963	33070	18387
964	33102	18352
965	33136	18317
966	33169	18282
967	33204	18248
968	33238	18214
969	33272	18179
970	33305	18144
971	33338	18109
972	33372	18075
973	33405	18040
974	33440	18006
975	33474	17971
976	33506	17936
977	33540	17901
978	33573	17867
979	33607	17832
980	33642	17798
981	33676	17764
982	33709	17729
983	33744	17695
984	33777	17660
985	33811	17625
986	33845	17591
987	33878	17556
988	33927	17529
989	33966	17497
990	34008	17467
991	34043	17433
992	34077	17398
993	34110	17364
994	34142	17328
995	34176	17294
996	34209	17259
997	34243	17224
998	34276	17189
999	34310	17155
1000	34343	17120
1001	34377	17085
1002	34411	17051
1003	34446	17017
1004	34480	16982
1005	34513	16948
1006	34545	16912
1007	34579	16877
1008	34611	16842
1009	34651	16811
1010	34683	16775
1011	34716	16740
1012	34749	16706
1013	34783	16671
1014	34816	16636
1015	34848	16601
1016	34881	16565
1017	34914	16531
1018	34948	16496
1019	34982	16462
1020	35015	16427
1021	35047	16392
1022	35080	16357
1023	35114	16322
1024	35147	16288
1025	35181	16253
1026	35214	16218
1027	35248	16184
1028	35282	16149
1029	35316	16115
1030	35350	16080
1031	35385	16046
1032	35418	16012
1033	35454	15978
1034	35489	15944
1035	35523	15910
1036	35559	15876
1037	35593	15842
1038	35627	15807
1039	35661	15773
1040	35696	15739
1041	35729	15704
1042	35763	15670
1043	35797	15635
1044	35830	15600
1045	35863	15565
1046	35897	15531
1047	35930	15496
1048	35964	15462
1049	35998	15427
1050	36031	15393
1051	36066	15359
1052	36101	15325
1053	36136	15291
1054	36170	15256
1055	36205	15222
1056	36240	15188
1057	36274	15154
1058	36309	15120
1059	36345	15086
1060	36380	15052
1061	36416	15019
1062	36450	14984
1063	36484	14950
1064	36518	14915
1065	36552	14881
1066	36586	14847
1067	36621	14813
1068	36654	14778
1069	36689	14744
1070	36724	14710
1071	36758	14675
1072	36794	14642
1073	36827	14607
1074	36861	14573
1075	36896	14539
1076	36929	14504
1077	36963	14469
1078	36997	14435
1079	37031	14401
1080	37066	14367
1081	37099	14332
1082	37132	14297
1083	37166	14263
1084	37200	14228
1085	37234	14194
1086	37266	14159
1087	37300	14124
1088	37334	14090
1089	37369	14056
1090	37403	14022
1091	37437	13987
1092	37470	13952
1093	37503	13918
1094	37536	13883
1095	37571	13849
1096	37603	13814
1097	37637	13779
1098	37670	13745
1099	37704	13710
1100	37741	13677
1101	37775	13643
1102	37810	13608
1103	37844	13574
1104	37879	13540
1105	37915	13506
1106	37954	13474
1107	37990	13440
1108	38030	13408
1109	38075	13377
1110	38110	13343
1111	38146	13310
1112	38180	13275
1113	38213	13241
1114	38247	13206
1115	38281	13172
1116	38315	13137
1117	38347	13102
1118	38380	13067
1119	38414	13033
1120	38447	12998
1121	38480	12964
1122	38513	12929
1123	38547	12894
1124	38580	12860
1125	38614	12825
1126	38646	12790
1127	38679	12756
1128	38714	12721
1129	38748	12687
1130	38782	12653
1131	38815	12618
1132	38849	12583
1133	38883	12549
1134	38916	12515
1135	38950	12480
1136	38984	12446
1137	39019	12412
1138	39053	12377
1139	39087	12343
1140	39120	12308
1141	39154	12274
1142	39189	12240
1143	39223	12205
1144	39256	12171
1145	39289	12136
1146	39322	12101
1147	39356	12067
1148	39389	12032
1149	39423	11998
1150	39457	11963
1151	39489	11929
1152	39523	11894
1153	39556	11860
1154	39590	11825
1155	39625	11791
1156	39658	11757
1157	39691	11722
1158	39725	11687
1159	39758	11653
1160	39793	11619
1161	39827	11584
1162	39861	11550
1163	39895	11516
1164	39928	11481
1165	39962	11447
1166	39996	11412
1167	40030	11378
1168	40064	11344
1169	40098	11309
1170	40137	11276
1171	40172	11242
1172	40206	11208
1173	40238	11173
1174	40272	11139
1175	40306	11104
1176	40340	11070
1177	40372	11035
1178	40406	11001
1179	40441	10967
1180	40475	10932
1181	40509	10898
1182	40543	10864
1183	40577	10829
1184	40610	10795
1185	40644	10760
1186	40677	10726
1187	40709	10691
1188	40743	10657
1189	40776	10622
1190	40810	10588
1191	40845	10553
1192	40878	10519
1193	40910	10484
1194	40944	10450
1195	40978	10415
1196	41012	10381
1197	41046	10347
1198	41079	10312
1199	41113	10278
1200	41148	10244
1201	41184	10210
1202	41228	10178
1203	41264	10144
1204	41298	10110
1205	41333	10076
1206	41369	10042
1207	41404	10008
1208	41437	9973
1209	41471	9939
1210	41508	9905
1211	41544	9871
1212	41581	9838
1213	41617	9804
1214	41651	9770
1215	41687	9736
1216	41722	9702
1217	41757	9667
1218	41790	9633
1219	41826	9599
1220	41861	9565
1221	41899	9531
1222	41941	9499
1223	41976	9465
1224	42010	9430
1225	42044	9396
1226	42079	9362
1227	42115	9328
1228	42151	9294
1229	42185	9260
1230	42221	9226
1231	42256	9192
1232	42292	9158
1233	42326	9123
1234	42360	9089
1235	42394	9055
1236	42429	9020
1237	42461	8986
1238	42495	8951
1239	42530	8917
1240	42563	8883
1241	42596	8848
1242	42630	8814
1243	42664	8779
1244	42699	8745
1245	42733	8711
1246	42766	8676
1247	42801	8642
1248	42834	8608
1249	42870	8574
1250	42903	8539
1251	42937	8505
1252	42970	8470
1253	43003	8436
1254	43037	8401
1255	43071	8367
1256	43106	8333
1257	43140	8298
1258	43173	8264
1259	43206	8229
1260	43239	8195
1261	43273	8160
1262	43307	8126
1263	43342	8092
1264	43376	8058
1265	43410	8023
1266	43443	7989
1267	43477	7954
1268	43511	7920
1269	43545	7886
1270	43580	7851
1271	43615	7817
1272	43649	7783
1273	43684	7749
1274	43717	7714
1275	43751	7680
1276	43786	7646
1277	43821	7612
1278	43855	7577
1279	43890	7543
1280	43926	7509
1281	43961	7475
1282	43996	7441
1283	44031	7407
1284	44065	7372
1285	44099	7338
1286	44134	7304
1287	44167	7269
1288	44202	7235
1289	44235	7201
1290	44269	7166
1291	44303	7132
1292	44337	7098
1293	44371	7063
1294	44405	7029
1295	44439	6995
1296	44473	6960
1297	44506	6926
1298	44540	6891
1299	44574	6857
1300	44623	6825
1301	44656	6791
1302	44689	6756
1303	44723	6722
1304	44757	6687
1305	44792	6653
1306	44827	6619
1307	44862	6585
1308	44896	6550
1309	44930	6516
1310	44964	6482
1311	44998	6447
1312	45032	6413
1313	45066	6379
1314	45100	6344
1315	45134	6310
1316	45168	6276
1317	45202	6241
1318	45236	6207
1319	45276	6174
1320	45319	6140
1321	45362	6107
1322	45404	6074
1323	45439	6040
1324	45473	6005
1325	45506	5971
1326	45540	5937
1327	45575	5902
1328	45609	5868
1329	45644	5834
1330	45679	5800
1331	45714	5765
1332	45748	5731
1333	45784	5697
1334	45818	5663
1335	45852	5628
1336	45891	5594
1337	45926	5560
1338	45960	5526
1339	45994	5491
1340	46027	5457
1341	46061	5423
1342	46095	5388
1343	46129	5354
1344	46163	5320
1345	46198	5285
1346	46232	5251
1347	46266	5216
1348	46299	5182
1349	46332	5148
1350	46365	5113
1351	46399	5079
1352	46432	5044
1353	46467	5010
1354	46532	4979
1355	46574	4945
1356	46629	4913
1357	46672	4880
1358	46712	4846
1359	46756	4813
1360	46795	4779
1361	46832	4745
1362	46869	4710
1363	46905	4676
1364	46943	4642
1365	46976	4608
1366	47010	4573
1367	47044	4539
1368	47078	4504
1369	47111	4470
1370	47146	4436
1371	47180	4401
1372	47215	4367
1373	47250	4332
1374	47286	4298
1375	47322	4264
1376	47358	4230
1377	47396	4196
1378	47431	4161
1379	47465	4127
1380	47499	4093
1381	47535	4058
1382	47572	4024
1383	47606	3990
1384	47641	3955
1385	47674	3921
1386	47708	3886
1387	47743	3852
1388	47776	3817
1389	47809	3783
1390	47843	3749
1391	47878	3714
1392	47911	3680
1393	47945	3645
1394	47978	3611
1395	48011	3576
1396	48044	3542
1397	48078	3507
1398	48112	3473
1399	48145	3438
1400	48180	3404
1401	48213	3370
1402	48245	3335
1403	48279	3301
1404	48312	3266
1405	48346	3232
1406	48379	3197
1407	48413	3163
1408	48446	3128
1409	48480	3094
1410	48514	3060
1411	48547	3025
1412	48580	2991
1413	48614	2956
1414	48648	2922
1415	48682	2887
1416	48716	2853
1417	48749	2819
1418	48782	2784
1419	48815	2750
1420	48848	2715
1421	48882	2681
1422	48915	2646
1423	48949	2612
1424	48984	2578
1425	49018	2543
1426	49051	2509
1427	49085	2474
1428	49118	2440
1429	49153	2406
1430	49186	2371
1431	49219	2337
1432	49253	2302
1433	49287	2268
1434	49321	2234
1435	49355	2199
1436	49389	2165
1437	49423	2130
1438	49457	2096
1439	49490	2062
1440	49523	2027
1441	49556	1993
1442	49591	1958
1443	49625	1924
1444	49658	1890
1445	49692	1855
1446	49725	1821
1447	49758	1786
1448	49791	1752
1449	49825	1718
1450	49860	1683
1451	49894	1649
1452	49927	1614
1453	49960	1580
1454	49993	1546
1455	50025	1511
1456	50058	1477
1457	50092	1442
1458	50124	1408
1459	50157	1374
1460	50194	1339
1461	50228	1305
1462	50278	1271
1463	50310	1237
1464	50344	1202
1465	50377	1168
1466	50412	1134
1467	50444	1099
1468	50478	1065
1469	50512	1030
1470	50546	996
1471	50581	962
1472	50616	927
1473	50652	893
1474	50686	859
1475	50720	824
1476	50754	790
1477	50787	755
1478	50820	721
1479	50855	687
1480	50892	652
1481	50927	618
1482	50962	584
1483	50997	549
1484	51031	515
1485	51063	481
1486	51098	446
1487	51131	412
1488	51166	377
1489	51199	343
1490	51232	309
1491	51265	274
1492	51305	240
1493	51347	206
1494	51390	171
1495	51429	137
1496	51468	103
1497	51506	68
1498	51543	34
1499	51577	0
